"","CTYNAME","CENSUS2010POP","POPESTIMATE2019","BIRTHS2019","DEATHS2019","STNAME"
"2","Autauga County",54571,55869,624,541,"Alabama"
"3","Baldwin County",182265,223234,2304,2326,"Alabama"
"4","Barbour County",27457,24686,256,312,"Alabama"
"5","Bibb County",22915,22394,240,252,"Alabama"
"6","Blount County",57322,57826,651,657,"Alabama"
"7","Bullock County",10914,10101,109,109,"Alabama"
"8","Butler County",20947,19448,213,272,"Alabama"
"9","Calhoun County",118572,113605,1269,1532,"Alabama"
"10","Chambers County",34215,33254,354,441,"Alabama"
"11","Cherokee County",25989,26196,222,343,"Alabama"
"12","Chilton County",43643,44428,551,503,"Alabama"
"13","Choctaw County",13859,12589,133,176,"Alabama"
"14","Clarke County",25833,23622,266,324,"Alabama"
"15","Clay County",13932,13235,143,187,"Alabama"
"16","Cleburne County",14972,14910,187,189,"Alabama"
"17","Coffee County",49948,52342,599,570,"Alabama"
"18","Colbert County",54428,55241,630,719,"Alabama"
"19","Conecuh County",13228,12067,123,182,"Alabama"
"20","Coosa County",11539,10663,89,122,"Alabama"
"21","Covington County",37765,37049,413,543,"Alabama"
"22","Crenshaw County",13906,13772,137,179,"Alabama"
"23","Cullman County",80406,83768,990,1050,"Alabama"
"24","Dale County",50251,49172,648,546,"Alabama"
"25","Dallas County",43820,37196,438,542,"Alabama"
"26","DeKalb County",71109,71513,795,819,"Alabama"
"27","Elmore County",79303,81209,932,821,"Alabama"
"28","Escambia County",38319,36633,420,474,"Alabama"
"29","Etowah County",104430,102268,1175,1487,"Alabama"
"30","Fayette County",17241,16302,174,225,"Alabama"
"31","Franklin County",31704,31362,432,367,"Alabama"
"32","Geneva County",26790,26271,278,365,"Alabama"
"33","Greene County",9045,8111,96,93,"Alabama"
"34","Hale County",15760,14651,190,181,"Alabama"
"35","Henry County",17302,17205,167,213,"Alabama"
"36","Houston County",101547,105882,1304,1137,"Alabama"
"37","Jackson County",53227,51626,562,675,"Alabama"
"38","Jefferson County",658466,658573,8422,7343,"Alabama"
"39","Lamar County",14564,13805,159,172,"Alabama"
"40","Lauderdale County",92709,92729,876,1136,"Alabama"
