census_birth_death
,CTYNAME,CENSUS2010POP,BIRTHS2010,DEATHS2010,STNAME,Births,Deaths
2,Autauga County,54571,150,157,Alabama,275,288
3,Baldwin County,182265,516,533,Alabama,283,292
4,Barbour County,27457,71,131,Alabama,259,477
5,Bibb County,22915,44,32,Alabama,192,140
6,Blount County,57322,184,131,Alabama,321,229
7,Bullock County,10914,39,53,Alabama,357,486
8,Butler County,20947,65,66,Alabama,310,315
9,Calhoun County,118572,318,311,Alabama,268,262
10,Chambers County,34215,83,80,Alabama,243,234
11,Cherokee County,25989,54,110,Alabama,208,423
12,Chilton County,43643,124,144,Alabama,284,330
13,Choctaw County,13859,29,21,Alabama,209,152
14,Clarke County,25833,49,45,Alabama,190,174
15,Clay County,13932,27,38,Alabama,194,273
16,Cleburne County,14972,42,22,Alabama,281,147
17,Coffee County,49948,168,77,Alabama,336,154
18,Colbert County,54428,162,130,Alabama,298,239
19,Conecuh County,13228,33,13,Alabama,249,98
20,Coosa County,11539,21,11,Alabama,182,95
21,Covington County,37765,100,91,Alabama,265,241
22,Crenshaw County,13906,36,23,Alabama,259,165
23,Cullman County,80406,249,228,Alabama,310,284
24,Dale County,50251,174,73,Alabama,346,145
25,Dallas County,43820,129,76,Alabama,294,173
26,DeKalb County,71109,232,152,Alabama,326,214
27,Elmore County,79303,234,191,Alabama,295,241
28,Escambia County,38319,121,62,Alabama,316,162
29,Etowah County,104430,260,287,Alabama,249,275
30,Fayette County,17241,41,39,Alabama,238,226
31,Franklin County,31704,120,65,Alabama,379,205
32,Geneva County,26790,75,117,Alabama,280,437
33,Greene County,9045,38,37,Alabama,420,409
34,Hale County,15760,55,27,Alabama,349,171
35,Henry County,17302,40,59,Alabama,231,341
36,Houston County,101547,323,232,Alabama,318,228
37,Jackson County,53227,144,130,Alabama,271,244
38,Jefferson County,658466,2105,1585,Alabama,320,241
39,Lamar County,14564,33,71,Alabama,227,488
40,Lauderdale County,92709,239,227,Alabama,258,245
41,Lawrence County,34339,78,60,Alabama,227,175
42,Lee County,140247,412,237,Alabama,294,169
43,Limestone County,82782,224,155,Alabama,271,187
44,Lowndes County,11299,37,18,Alabama,327,159
45,Macon County,21452,65,40,Alabama,303,186
46,Madison County,334811,967,600,Alabama,289,179
47,Marengo County,21027,48,100,Alabama,228,476
48,Marion County,30776,73,77,Alabama,237,250
49,Marshall County,93019,322,269,Alabama,346,289
50,Mobile County,412992,1345,949,Alabama,326,230
51,Monroe County,23068,56,39,Alabama,243,169
52,Montgomery County,229363,712,458,Alabama,310,200
53,Morgan County,119490,382,292,Alabama,320,244
54,Perry County,10591,32,18,Alabama,302,170
55,Pickens County,19746,53,31,Alabama,268,157
56,Pike County,32899,93,78,Alabama,283,237
57,Randolph County,22913,42,49,Alabama,183,214
58,Russell County,52947,189,93,Alabama,357,176
59,St. Clair County,83593,278,192,Alabama,333,230
60,Shelby County,195085,633,317,Alabama,324,162
61,Sumter County,13763,27,57,Alabama,196,414
62,Talladega County,82291,202,194,Alabama,245,236
63,Tallapoosa County,41616,128,162,Alabama,308,389
64,Tuscaloosa County,194656,562,323,Alabama,289,166
65,Walker County,67023,218,240,Alabama,325,358
66,Washington County,17581,41,25,Alabama,233,142
67,Wilcox County,11670,21,64,Alabama,180,548
68,Winston County,24484,59,61,Alabama,241,249
70,Aleutians East Borough,3141,2,1,Alaska,64,32
71,Aleutians West Census Area,5561,5,1,Alaska,90,18
72,Anchorage Municipality,291826,1161,314,Alaska,398,108
73,Bethel Census Area,17013,117,33,Alaska,688,194
74,Bristol Bay Borough,997,3,3,Alaska,301,301
75,Denali Borough,1826,9,3,Alaska,493,164
76,Dillingham Census Area,4847,19,17,Alaska,392,351
77,Fairbanks North Star Borough,97581,482,116,Alaska,494,119
78,Haines Borough,2508,2,10,Alaska,80,399
79,Hoonah-Angoon Census Area,2150,3,0,Alaska,140,0
80,Juneau City and Borough,31275,101,61,Alaska,323,195
81,Kenai Peninsula Borough,55400,182,108,Alaska,329,195
82,Ketchikan Gateway Borough,13477,41,14,Alaska,304,104
83,Kodiak Island Borough,13592,64,11,Alaska,471,81
84,Kusilvak Census Area,7459,55,8,Alaska,737,107
85,Lake and Peninsula Borough,1631,10,1,Alaska,613,61
86,Matanuska-Susitna Borough,88995,323,100,Alaska,363,112
87,Nome Census Area,9492,55,29,Alaska,579,306
88,North Slope Borough,9430,48,5,Alaska,509,53
89,Northwest Arctic Borough,7523,55,1,Alaska,731,13
90,Petersburg Borough,3815,14,3,Alaska,367,79
91,Prince of Wales-Hyder Census Area,5559,18,3,Alaska,324,54
92,Sitka City and Borough,8881,27,26,Alaska,304,293
93,Skagway Municipality,968,3,0,Alaska,310,0
94,Southeast Fairbanks Census Area,7029,42,19,Alaska,598,270
95,Valdez-Cordova Census Area,9636,22,22,Alaska,228,228
96,Wrangell City and Borough,2369,6,2,Alaska,253,84
97,Yakutat City and Borough,662,2,0,Alaska,302,0
98,Yukon-Koyukuk Census Area,5588,21,9,Alaska,376,161
100,Apache County,71518,276,89,Arizona,386,124
101,Cochise County,131346,398,266,Arizona,303,203
102,Coconino County,134421,430,165,Arizona,320,123
103,Gila County,53597,163,209,Arizona,304,390
104,Graham County,37220,124,46,Arizona,333,124
105,Greenlee County,8437,18,27,Arizona,213,320
106,La Paz County,20489,42,25,Arizona,205,122
107,Maricopa County,3817117,13118,6313,Arizona,344,165
